"-149.841187","61.222245","Napa Auto Parts-Anchorage,AK","2200 Spar Ave, Anchorage,AK, (907) 276-3500","4029"
"-149.935351","61.181386","Napa Auto Parts-Anchorage,AK","4361 Spenard Rd, Anchorage,AK, (907) 277-3546","4030"
"-149.860286","61.166375","Napa Auto Parts-Anchorage,AK","1130 E Dowling Rd, Anchorage,AK, (907) 563-3637","4031"
"-149.848467","61.217819","Napa Auto Parts-Anchorage,AK","1827 E 5th Ave, Anchorage,AK, (907) 276-3996","4032"
"-149.909439","61.519254","Napa Auto Parts-Big Lake,AK","10911 Big Lake Rd, Big Lake,AK, (907) 892-7433","4033"
"-145.728589","64.04221","Napa Auto Parts-Delta Junction,AK","1585 Richardson Hwy, Delta Junction,AK, (907) 895-6272","4034"
"-149.563349","61.335593","Napa Auto Parts-Eagle River,AK","12751 Old Glenn Hwy, Eagle River,AK, (907) 694-2110","4035"
"-147.713466","64.836123","Napa Auto Parts-Fairbanks,AK","304 Gaffney Rd, Fairbanks,AK, (907) 458-6272","4036"
"-147.754865","64.812254","Napa Auto Parts-Fairbanks,AK","1937 Van Horn Rd, Fairbanks,AK, (907) 458-6280","4037"
"-147.844006","64.847627","Napa Auto Parts-Fairbanks,AK","722 Loftus Rd, Fairbanks,AK, (907) 458-6290","4038"
"-145.562087","62.109341","Napa Auto Parts-Glennallen,AK","185 Glenn Hwy, Glennallen,AK, (907) 822-3686","4039"
"-135.441222","59.240175","Napa Auto Parts-Haines,AK","Mile 1 1/2 Haines Hwy, Haines,AK, (907) 766-2458","4040"
"-151.544459","59.641924","Napa Auto Parts-Homer,AK","3545 Main St, Homer,AK, (907) 235-8663","4041"
"-134.585652","58.372231","Napa Auto Parts-Juneau,AK","9110 Mendenhall Mall Rd, Juneau,AK, (907) 789-4133","4042"
"-151.239688","60.558744","Napa Auto Parts-Kenai,AK","10704 Kenai Spur Hwy, Kenai,AK, (907) 283-3513","4043"
"-147.328982","64.750982","Napa Auto Parts-North Pole,AK","2564 Richardson Hwy, North Pole,AK, (907) 488-6272","4044"
"-149.11209","61.606822","Napa Auto Parts-Palmer,AK","217 E Arctic Ave, Palmer,AK, (907) 745-2181","4045"
"-149.445394","60.107515","Napa Auto Parts-Seward,AK","Mi 1 Seward Hwy, Seward,AK, (907) 224-8048","4046"
"-151.061287","60.484809","Napa Auto Parts-Soldotna,AK","44096 Sterling Hwy, Soldotna,AK, (907) 262-6233","4047"
"-146.350807","61.12898","Napa Auto Parts-Valdez,AK","118 Egan St, Valdez,AK, (907) 835-3101","4048"
"-149.430847","61.582508","Napa Auto Parts-Wasilla,AK","791 E Westpoint Dr, Wasilla,AK, (907) 376-5204","4049"
"-85.249293","31.570635","Napa Auto Parts-Abbeville,AL","109 S Doswell St, Abbeville,AL, (334) 585-2533","4050"
"-86.195354","34.269063","Napa Auto Parts-Albertville,AL","6485 US Hwy 431, Albertville,AL, (256) 878-5060","4051"
"-85.975276","32.936568","Napa Auto Parts-Alexander City,AL","1584 Highway 280 W, Alexander City,AL, (256) 234-5091","4052"
"-86.49926","31.302453","Napa Auto Parts-Andalusia,AL","610 Bypass West, Andalusia,AL, (334) 222-1195","4053"
"-86.503324","34.3289","Napa Auto Parts-Arab,AL","801 N Brindlee Mtn Pkwy, Arab,AL, (256) 586-3151","4054"
"-85.836115","33.273113","Napa Auto Parts-Ashland,AL","83022 Highway 9, Ashland,AL, (256) 354-4873","4055"
"-86.974449","34.77704","Napa Auto Parts-Athens,AL","1823 South Jefferson St, Athens,AL, (256) 232-6368","4056"
"-87.486362","31.024343","Napa Auto Parts-Atmore,AL","105 N 2nd Ave, Atmore,AL, (251) 368-2148","4057"
"-85.456891","32.621014","Napa Auto Parts-Auburn,AL","1213 Opelika Rd, Auburn,AL, (334) 821-0060","4058"
"-87.77581","30.882414","Napa Auto Parts-Bay Minette,AL","408 D Olive St, Bay Minette,AL, (251) 937-2591","4059"
